ApplicationID,DeptName,Program,DateOfApplication,Year,Glyphosate,Tier1,QtyAppliedUOM,QtyApplied,Gallons,Location,Address,Latitude,Longitude,NoSprayings,PF
19062,Parks and Recreation,Developed Park,03/08/2013,2013,Y,N,Gal(s),0.5,0.5,Tilicum Place,5th Ave / Denny Way,47.618382,-122.347411,0,0
19063,Parks and Recreation,Developed Park,02/02/2013,2013,Y,N,Gal(s),6,6,Dragonfly Pavilion,Yancy St,47.566545,-122.366942,0,0
19064,Parks and Recreation,Developed Park,02/27/2013,2013,Y,N,Gal(s),0.5,0.5,Dragonfly Pavilion,Yancy St,47.566545,-122.366942,0,0
19065,Parks and Recreation,Developed Park,02/27/2013,2013,Y,N,Gal(s),1.5,1.5,Greg Davis Park,26th Ave SW/ SW Brandon St,47.55376,-122.36562,0,0
19070,Parks and Recreation,Developed Park,03/12/2013,2013,Y,N,Fl. Oz,4,0.03125,Observatory Courts,1405 Warren Ave N,47.631342,-122.355134,0,0
19071,Parks and Recreation,Developed Park,03/04/2013,2013,Y,N,Gal(s),2,2,Morgan Junction Park,,47.545781,-122.387537,0,0
19073,Parks and Recreation,Developed Park,03/04/2013,2013,Y,N,Gal(s),4,4,Hamilton Viewpoint,1531 California Ave SW,47.59074752,-122.3890697,0,0
19074,Parks and Recreation,Developed Park,03/04/2013,2013,Y,N,Gal(s),0.25,0.25,Seacrest Park,1660 Harbor Ave SW,47.588951,-122.378676,0,0
19075,Parks and Recreation,Developed Park,03/08/2013,2013,Y,N,Gal(s),4,4,South Park Playground,738 S Sullivan St,47.520795,-122.323649,0,0
19082,Seattle Center,Seattle Center,04/01/2013,2013,Y,N,Gal(s),11,11,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19089,Parks and Recreation,Developed Park,04/01/2013,2013,N,N,Gal(s),1,1,Seola Beach Greenbelt,11399 Seola Beach Dr SW,47.500389,-122.374332,0,0
19090,Parks and Recreation,Developed Park,04/01/2013,2013,N,N,Gal(s),0.25,0.25,Lincoln Park,7367 47th Ave SW,47.531177,-122.396012,0,0
19091,Parks and Recreation,Developed Park,03/25/2013,2013,Y,N,Gal(s),11,11,Riverview Playfield,7226 12th Ave SW,47.539329,-122.348855,0,0
19092,Parks and Recreation,Developed Park,03/29/2013,2013,N,N,Gal(s),0.5,0.5,Longfellow Creek,Unknown,47.530167,-122.363435,0,0
19093,Parks and Recreation,Developed Park,03/29/2013,2013,Y,N,Gal(s),4,4,Riverview Playfield,7226 12th Ave SW,47.539329,-122.348855,0,0
19094,Parks and Recreation,Developed Park,03/29/2013,2013,Y,N,Gal(s),2,2,South Park Playground,738 S Sullivan St,47.520795,-122.323649,0,0
19095,Parks and Recreation,Developed Park,04/01/2013,2013,Y,N,Gal(s),6,6,Hiawatha Playfield,2700 California Ave SW,47.57827243,-122.3849647,0,0
19096,Seattle Center,Seattle Center,04/09/2013,2013,Y,N,Gal(s),4,4,Seattle Center,"305 Harrison, Seattle, WA 98109",47.62208,-122.35052,0,0
19097,Parks and Recreation,Developed Park,04/09/2013,2013,Y,N,Gal(s),2,2,Pritchard Island Beach,8400 55th Ave South,47.52895,-122.262831,0,0
19098,Parks and Recreation,Developed Park,04/09/2013,2013,Y,N,Gal(s),1,1,Atlantic City Boat Ramp,8702 Seward Park Ave S,47.589165,-122.30566,0,0
